Year,Attribute,Value
1789,Number of closed autocracies,51
1789,Number of electoral autocracies,0
1789,Number of electoral democracies,0
1789,Number of liberal democracies,0
1790,Number of closed autocracies,52
1790,Number of electoral autocracies,1
1790,Number of electoral democracies,0
1790,Number of liberal democracies,0
1791,Number of closed autocracies,52
1791,Number of electoral autocracies,1
1791,Number of electoral democracies,0
1791,Number of liberal democracies,0
1792,Number of closed autocracies,51
1792,Number of electoral autocracies,2
1792,Number of electoral democracies,0
1792,Number of liberal democracies,0
1793,Number of closed autocracies,51
1793,Number of electoral autocracies,2
1793,Number of electoral democracies,0
1793,Number of liberal democracies,0
1794,Number of closed autocracies,51
1794,Number of electoral autocracies,2
1794,Number of electoral democracies,0
1794,Number of liberal democracies,0
1795,Number of closed autocracies,51
1795,Number of electoral autocracies,2
1795,Number of electoral democracies,0
1795,Number of liberal democracies,0
1796,Number of closed autocracies,47
1796,Number of electoral autocracies,4
1796,Number of electoral democracies,0
1796,Number of liberal democracies,0
1797,Number of closed autocracies,47
1797,Number of electoral autocracies,4
1797,Number of electoral democracies,0
1797,Number of liberal democracies,0
1798,Number of closed autocracies,47
1798,Number of electoral autocracies,4
1798,Number of electoral democracies,0
1798,Number of liberal democracies,0
1799,Number of closed autocracies,49
1799,Number of electoral autocracies,2
1799,Number of electoral democracies,0
1799,Number of liberal democracies,0
1800,Number of closed autocracies,51
1800,Number of electoral autocracies,2
1800,Number of electoral democracies,0
1800,Number of liberal democracies,0
1801,Number of closed autocracies,50
1801,Number of electoral autocracies,2
1801,Number of electoral democracies,0
1801,Number of liberal democracies,0
1802,Number of closed autocracies,52
1802,Number of electoral autocracies,2
1802,Number of electoral democracies,0
1802,Number of liberal democracies,0
1803,Number of closed autocracies,51
1803,Number of electoral autocracies,2
1803,Number of electoral democracies,0
1803,Number of liberal democracies,0
1804,Number of closed autocracies,51
1804,Number of electoral autocracies,2
1804,Number of electoral democracies,0
1804,Number of liberal democracies,0
1805,Number of closed autocracies,51
1805,Number of electoral autocracies,2
1805,Number of electoral democracies,0
1805,Number of liberal democracies,0
1806,Number of closed autocracies,51
1806,Number of electoral autocracies,2
1806,Number of electoral democracies,0
1806,Number of liberal democracies,0
1807,Number of closed autocracies,53
1807,Number of electoral autocracies,2
1807,Number of electoral democracies,0
1807,Number of liberal democracies,0
1808,Number of closed autocracies,52
1808,Number of electoral autocracies,2
1808,Number of electoral democracies,0
1808,Number of liberal democracies,0
1809,Number of closed autocracies,53
1809,Number of electoral autocracies,2
1809,Number of electoral democracies,0
1809,Number of liberal democracies,0
1810,Number of closed autocracies,52
1810,Number of electoral autocracies,2
1810,Number of electoral democracies,0
1810,Number of liberal democracies,0
1811,Number of closed autocracies,51
1811,Number of electoral autocracies,2
1811,Number of electoral democracies,0
1811,Number of liberal democracies,0
1812,Number of closed autocracies,51
1812,Number of electoral autocracies,2
1812,Number of electoral democracies,0
1812,Number of liberal democracies,0
1813,Number of closed autocracies,53
1813,Number of electoral autocracies,2
1813,Number of electoral democracies,0
1813,Number of liberal democracies,0
1814,Number of closed autocracies,55
1814,Number of electoral autocracies,2
1814,Number of electoral democracies,0
1814,Number of liberal democracies,0
1815,Number of closed autocracies,58
1815,Number of electoral autocracies,2
1815,Number of electoral democracies,0
1815,Number of liberal democracies,0
1816,Number of closed autocracies,58
1816,Number of electoral autocracies,2
1816,Number of electoral democracies,0
1816,Number of liberal democracies,0
1817,Number of closed autocracies,58
1817,Number of electoral autocracies,3
1817,Number of electoral democracies,0
1817,Number of liberal democracies,0
1818,Number of closed autocracies,58
1818,Number of electoral autocracies,3
1818,Number of electoral democracies,0
1818,Number of liberal democracies,0
1819,Number of closed autocracies,58
1819,Number of electoral autocracies,3
1819,Number of electoral democracies,0
1819,Number of liberal democracies,0
1820,Number of closed autocracies,57
1820,Number of electoral autocracies,3
1820,Number of electoral democracies,0
1820,Number of liberal democracies,0
1821,Number of closed autocracies,58
1821,Number of electoral autocracies,4
1821,Number of electoral democracies,0
1821,Number of liberal democracies,0
1822,Number of closed autocracies,59
1822,Number of electoral autocracies,4
1822,Number of electoral democracies,0
1822,Number of liberal democracies,0
1823,Number of closed autocracies,58
1823,Number of electoral autocracies,5
1823,Number of electoral democracies,0
1823,Number of liberal democracies,0
1824,Number of closed autocracies,58
1824,Number of electoral autocracies,4
1824,Number of electoral democracies,0
1824,Number of liberal democracies,0
1825,Number of closed autocracies,60
1825,Number of electoral autocracies,4
1825,Number of electoral democracies,0
1825,Number of liberal democracies,0
1826,Number of closed autocracies,61
1826,Number of electoral autocracies,4
1826,Number of electoral democracies,0
1826,Number of liberal democracies,0
1827,Number of closed autocracies,61
1827,Number of electoral autocracies,4
1827,Number of electoral democracies,0
1827,Number of liberal democracies,0
1828,Number of closed autocracies,61
1828,Number of electoral autocracies,4
1828,Number of electoral democracies,0
1828,Number of liberal democracies,0
1829,Number of closed autocracies,60
1829,Number of electoral autocracies,5
1829,Number of electoral democracies,0
1829,Number of liberal democracies,0
1830,Number of closed autocracies,64
1830,Number of electoral autocracies,4
1830,Number of electoral democracies,0
1830,Number of liberal democracies,0
1831,Number of closed autocracies,63
1831,Number of electoral autocracies,6
1831,Number of electoral democracies,0
1831,Number of liberal democracies,0
1832,Number of closed autocracies,63
1832,Number of electoral autocracies,7
1832,Number of electoral democracies,0
1832,Number of liberal democracies,0
1833,Number of closed autocracies,63
1833,Number of electoral autocracies,7
1833,Number of electoral democracies,0
1833,Number of liberal democracies,0
1834,Number of closed autocracies,64
1834,Number of electoral autocracies,7
1834,Number of electoral democracies,0
1834,Number of liberal democracies,0
1835,Number of closed autocracies,63
1835,Number of electoral autocracies,8
1835,Number of electoral democracies,0
1835,Number of liberal democracies,0
1836,Number of closed autocracies,63
1836,Number of electoral autocracies,8
1836,Number of electoral democracies,0
1836,Number of liberal democracies,0
1837,Number of closed autocracies,62
1837,Number of electoral autocracies,9
1837,Number of electoral democracies,0
1837,Number of liberal democracies,0
1838,Number of closed autocracies,66
1838,Number of electoral autocracies,8
1838,Number of electoral democracies,0
1838,Number of liberal democracies,0
1839,Number of closed autocracies,66
1839,Number of electoral autocracies,9
1839,Number of electoral democracies,0
1839,Number of liberal democracies,0
1840,Number of closed autocracies,67
1840,Number of electoral autocracies,8
1840,Number of electoral democracies,0
1840,Number of liberal democracies,0
1841,Number of closed autocracies,71
1841,Number of electoral autocracies,5
1841,Number of electoral democracies,0
1841,Number of liberal democracies,0
1842,Number of closed autocracies,68
1842,Number of electoral autocracies,8
1842,Number of electoral democracies,0
1842,Number of liberal democracies,0
1843,Number of closed autocracies,68
1843,Number of electoral autocracies,8
1843,Number of electoral democracies,0
1843,Number of liberal democracies,0
1844,Number of closed autocracies,68
1844,Number of electoral autocracies,9
1844,Number of electoral democracies,0
1844,Number of liberal democracies,0
1845,Number of closed autocracies,68
1845,Number of electoral autocracies,9
1845,Number of electoral democracies,0
1845,Number of liberal democracies,0
1846,Number of closed autocracies,70
1846,Number of electoral autocracies,8
1846,Number of electoral democracies,0
1846,Number of liberal democracies,0
1847,Number of closed autocracies,68
1847,Number of electoral autocracies,9
1847,Number of electoral democracies,0
1847,Number of liberal democracies,0
1848,Number of closed autocracies,63
1848,Number of electoral autocracies,16
1848,Number of electoral democracies,0
1848,Number of liberal democracies,0
1849,Number of closed autocracies,64
1849,Number of electoral autocracies,13
1849,Number of electoral democracies,0
1849,Number of liberal democracies,1
1850,Number of closed autocracies,64
1850,Number of electoral autocracies,13
1850,Number of electoral democracies,0
1850,Number of liberal democracies,1
1851,Number of closed autocracies,62
1851,Number of electoral autocracies,14
1851,Number of electoral democracies,0
1851,Number of liberal democracies,1
1852,Number of closed autocracies,63
1852,Number of electoral autocracies,14
1852,Number of electoral democracies,0
1852,Number of liberal democracies,1
1853,Number of closed autocracies,65
1853,Number of electoral autocracies,13
1853,Number of electoral democracies,0
1853,Number of liberal democracies,1
1854,Number of closed autocracies,64
1854,Number of electoral autocracies,14
1854,Number of electoral democracies,0
1854,Number of liberal democracies,1
1855,Number of closed autocracies,64
1855,Number of electoral autocracies,14
1855,Number of electoral democracies,0
1855,Number of liberal democracies,1
1856,Number of closed autocracies,63
1856,Number of electoral autocracies,14
1856,Number of electoral democracies,0
1856,Number of liberal democracies,1
1857,Number of closed autocracies,63
1857,Number of electoral autocracies,15
1857,Number of electoral democracies,0
1857,Number of liberal democracies,1
1858,Number of closed autocracies,64
1858,Number of electoral autocracies,13
1858,Number of electoral democracies,0
1858,Number of liberal democracies,2
1859,Number of closed autocracies,64
1859,Number of electoral autocracies,13
1859,Number of electoral democracies,0
1859,Number of liberal democracies,2
1860,Number of closed autocracies,62
1860,Number of electoral autocracies,13
1860,Number of electoral democracies,0
1860,Number of liberal democracies,2
1861,Number of closed autocracies,63
1861,Number of electoral autocracies,11
1861,Number of electoral democracies,0
1861,Number of liberal democracies,2
1862,Number of closed autocracies,59
1862,Number of electoral autocracies,12
1862,Number of electoral democracies,0
1862,Number of liberal democracies,2
1863,Number of closed autocracies,61
1863,Number of electoral autocracies,11
1863,Number of electoral democracies,0
1863,Number of liberal democracies,2
1864,Number of closed autocracies,61
