Country,Code,Year,Women Political Empowerment (Central Estimate),Electoral Democracy (Central Estimate),Region
Africa,,1900,0.13975675,0.04754054,Africa
Africa,,1901,0.1398919,0.048405405,Africa
Africa,,1902,0.14360526,0.049052633,Africa
Africa,,1903,0.150025,0.049225,Africa
Africa,,1904,0.15130952,0.04885714,Africa
Africa,,1905,0.15135714,0.048952382,Africa
Africa,,1906,0.15159523,0.04909524,Africa
Africa,,1907,0.15159523,0.049309526,Africa
Africa,,1908,0.15183334,0.04952381,Africa
Africa,,1909,0.15242857,0.049452383,Africa
Africa,,1910,0.15030232,0.049488373,Africa
Africa,,1911,0.14795555,0.049533334,Africa
Africa,,1912,0.1491111,0.049644444,Africa
Africa,,1913,0.1491111,0.049222223,Africa
Africa,,1914,0.15291111,0.050466668,Africa
Africa,,1915,0.15358695,0.050260868,Africa
Africa,,1916,0.15540816,0.048916668,Africa
Africa,,1917,0.15555102,0.0488125,Africa
Africa,,1918,0.15555102,0.048833333,Africa
Africa,,1919,0.1584,0.04997959,Africa
Africa,,1920,0.15798077,0.049745098,Africa
Africa,,1921,0.15792307,0.04982353,Africa
Africa,,1922,0.15875472,0.048943397,Africa
Africa,,1923,0.15653846,0.049490567,Africa
Africa,,1924,0.15639216,0.051169813,Africa
Africa,,1925,0.15662745,0.05137736,Africa
Africa,,1926,0.15786,0.05220755,Africa
Africa,,1927,0.15736735,0.052150942,Africa
Africa,,1928,0.15748979,0.052226417,Africa
Africa,,1929,0.15748979,0.05228302,Africa
Africa,,1930,0.15838775,0.05245283,Africa
Africa,,1931,0.15865307,0.05235849,Africa
Africa,,1932,0.156,0.05175,Africa
Africa,,1933,0.15531915,0.051634617,Africa
Africa,,1934,0.15570213,0.051134616,Africa
Africa,,1935,0.15621276,0.051153846,Africa
Africa,,1936,0.15685417,0.05198077,Africa
Africa,,1937,0.15691666,0.052173078,Africa
Africa,,1938,0.15704167,0.05298077,Africa
Africa,,1939,0.15760417,0.052865386,Africa
Africa,,1940,0.16127083,0.052846156,Africa
Africa,,1941,0.16264583,0.05346154,Africa
Africa,,1942,0.167,0.056176472,Africa
Africa,,1943,0.16727659,0.05637255,Africa
Africa,,1944,0.16704255,0.056470588,Africa
Africa,,1945,0.16836171,0.059823528,Africa
Africa,,1946,0.17139584,0.06955769,Africa
Africa,,1947,0.17691837,0.078301884,Africa
Africa,,1948,0.17791837,0.08222642,Africa
Africa,,1949,0.17820409,0.08656604,Africa
Africa,,1950,0.1804898,0.08839623,Africa
Africa,,1951,0.17964,0.09214815,Africa
Africa,,1952,0.17972,0.09468519,Africa
Africa,,1953,0.18058,0.093277775,Africa
Africa,,1954,0.18202,0.094537035,Africa
Africa,,1955,0.18196,0.096666664,Africa
Africa,,1956,0.1871,0.10811111,Africa
Africa,,1957,0.19338,0.13068518,Africa
Africa,,1958,0.19854,0.13592593,Africa
Africa,,1959,0.20334694,0.1362963,Africa
Africa,,1960,0.256,0.15596226,Africa
Africa,,1961,0.26344,0.17144445,Africa
Africa,,1962,0.26861224,0.18364815,Africa
Africa,,1963,0.28152,0.19361112,Africa
Africa,,1964,0.2889796,0.19046296,Africa
Africa,,1965,0.30052,0.19151852,Africa
Africa,,1966,0.31121153,0.17833333,Africa
Africa,,1967,0.30717307,0.17822222,Africa
Africa,,1968,0.30932692,0.18316667,Africa
Africa,,1969,0.3119231,0.17444445,Africa
Africa,,1970,0.3163654,0.17412964,Africa
Africa,,1971,0.31675,0.17527778,Africa
Africa,,1972,0.3144706,0.1677963,Africa
Africa,,1973,0.31748077,0.164,Africa
Africa,,1974,0.3288679,0.1595926,Africa
Africa,,1975,0.35086793,0.16331482,Africa
Africa,,1976,0.365283,0.1654074,Africa
Africa,,1977,0.36396226,0.16551852,Africa
Africa,,1978,0.36813208,0.163,Africa
Africa,,1979,0.37328303,0.17664815,Africa
Africa,,1980,0.39732692,0.18955556,Africa
Africa,,1981,0.40578845,0.18888889,Africa
Africa,,1982,0.40667307,0.18822221,Africa
Africa,,1983,0.41084906,0.18803704,Africa
Africa,,1984,0.41107547,0.18522222,Africa
Africa,,1985,0.41243395,0.18690741,Africa
Africa,,1986,0.41679245,0.19118519,Africa
Africa,,1987,0.42039624,0.19248147,Africa
Africa,,1988,0.4267547,0.1937037,Africa
Africa,,1989,0.43160376,0.1945,Africa
Africa,,1990,0.46818867,0.225,Africa
Africa,,1991,0.4902037,0.2577091,Africa
Africa,,1992,0.5038148,0.2905091,Africa
Africa,,1993,0.51737034,0.32134545,Africa
Africa,,1994,0.53625923,0.32927272,Africa
Africa,,1995,0.54866666,0.34276363,Africa
Africa,,1996,0.54937035,0.34849092,Africa
Africa,,1997,0.55068517,0.35365453,Africa
Africa,,1998,0.55424076,0.35445455,Africa
Africa,,1999,0.56027776,0.3513818,Africa
Africa,,2000,0.57681483,0.3576909,Africa
Africa,,2001,0.5821852,0.36021817,Africa
Africa,,2002,0.5985,0.37325454,Africa
Africa,,2003,0.600463,0.38303638,Africa
Africa,,2004,0.61120373,0.38476363,Africa
