Country,Code,Year,Women Political Empowerment (Central Estimate),Electoral Democracy (Central Estimate),Region
World (population-weighted),,1789,0.09461963,0.044598665,World (population-weighted)
World (population-weighted),,1790,0.09414529,0.044847976,World (population-weighted)
World (population-weighted),,1791,0.094348066,0.04416829,World (population-weighted)
World (population-weighted),,1792,0.0944973,0.044548154,World (population-weighted)
World (population-weighted),,1793,0.09464529,0.044741184,World (population-weighted)
World (population-weighted),,1794,0.096059784,0.044946514,World (population-weighted)
World (population-weighted),,1795,0.09645881,0.043961428,World (population-weighted)
World (population-weighted),,1796,0.09446655,0.044325173,World (population-weighted)
World (population-weighted),,1797,0.094619475,0.04438845,World (population-weighted)
World (population-weighted),,1798,0.09477107,0.044784255,World (population-weighted)
World (population-weighted),,1799,0.09491502,0.04468921,World (population-weighted)
World (population-weighted),,1800,0.09604275,0.03999778,World (population-weighted)
World (population-weighted),,1801,0.09628726,0.040179025,World (population-weighted)
World (population-weighted),,1802,0.097681366,0.040437125,World (population-weighted)
World (population-weighted),,1803,0.09850208,0.040443957,World (population-weighted)
World (population-weighted),,1804,0.09881456,0.040444825,World (population-weighted)
World (population-weighted),,1805,0.09879279,0.040422004,World (population-weighted)
World (population-weighted),,1806,0.09877164,0.040492408,World (population-weighted)
World (population-weighted),,1807,0.09877666,0.04058297,World (population-weighted)
World (population-weighted),,1808,0.098757,0.04105141,World (population-weighted)
World (population-weighted),,1809,0.098761275,0.042354293,World (population-weighted)
World (population-weighted),,1810,0.098852314,0.042960178,World (population-weighted)
World (population-weighted),,1811,0.0981964,0.043195423,World (population-weighted)
World (population-weighted),,1812,0.096645705,0.043921996,World (population-weighted)
World (population-weighted),,1813,0.09817459,0.04309792,World (population-weighted)
World (population-weighted),,1814,0.09837385,0.041979365,World (population-weighted)
World (population-weighted),,1815,0.097649895,0.04577293,World (population-weighted)
World (population-weighted),,1816,0.09748926,0.04603253,World (population-weighted)
World (population-weighted),,1817,0.09794262,0.04634395,World (population-weighted)
World (population-weighted),,1818,0.09827623,0.046699077,World (population-weighted)
World (population-weighted),,1819,0.098161235,0.046489775,World (population-weighted)
World (population-weighted),,1820,0.09800273,0.047499534,World (population-weighted)
World (population-weighted),,1821,0.09885423,0.049647886,World (population-weighted)
World (population-weighted),,1822,0.09770379,0.049930785,World (population-weighted)
World (population-weighted),,1823,0.097377285,0.05046279,World (population-weighted)
World (population-weighted),,1824,0.09664891,0.048628673,World (population-weighted)
World (population-weighted),,1825,0.09657165,0.04920482,World (population-weighted)
